Method,Year,Source,Architecture_Type,Architecture_Detail,Datasets,Subjects,Channels,Sampling_Rate_Hz,Segmentation_Window,Acc_IV2a_pct,Kappa_IV2a,Acc_IV2b_pct,Acc_HGD_pct,Cross_Subject_Acc_pct,Evaluation_Protocol,Explainability,Adaptive_Preprocessing,Decision_Validation,RL_Agent,LLM_Integration,Multi_Scale,Attention_Type,Temporal_Modeling,Spatial_Modeling,URL
LLM-EEG v2 (LDA),2025,Framework,Pipeline+RL+LLM,LDA+CSP+BandPower+APA+DVA+Phi3,BCI IV-2a,9,22,250,4s (2.0-6.0s),52.20,0.36,N/A,N/A,Planned,5-fold CV,LLM (Phi-3),APA (Q-Learning),DVA (Accept/Reject/Review),Yes,Yes (Phi-3),No,None,PSD Band Power,CSP,https://github.com/erlika/llm-eeg
LLM-EEG v2 (SVM),2025,Framework,Pipeline+RL+LLM,SVM+CSP+BandPower+APA+DVA+Phi3,BCI IV-2a,9,22,250,4s (2.0-6.0s),43.18,0.24,N/A,N/A,Planned,5-fold CV,LLM (Phi-3),APA (Q-Learning),DVA (Accept/Reject/Review),Yes,Yes (Phi-3),No,None,PSD Band Power,CSP,https://github.com/erlika/llm-eeg
LLM-EEG v2 (EEGNet),2025,Framework,Pipeline+RL+LLM,EEGNet+APA+DVA+Phi3,BCI IV-2a,9,22,250,4s (2.0-6.0s),54.07,0.39,N/A,N/A,Planned,5-fold CV,LLM (Phi-3),APA (Q-Learning),DVA (Accept/Reject/Review),Yes,Yes (Phi-3),No,None,CNN temporal,CNN depthwise,https://github.com/erlika/llm-eeg
LLM-EEG v2 (ATCNet),2025,Framework,Pipeline+RL+LLM,ATCNet+APA+DVA+Phi3,BCI IV-2a,9,22,250,4s (2.0-6.0s),52.20,0.36,N/A,N/A,Planned,5-fold CV,LLM (Phi-3),APA (Q-Learning),DVA (Accept/Reject/Review),Yes,Yes (Phi-3),No,Self-Attention,TCN+Attention,CNN depthwise,https://github.com/erlika/llm-eeg
LLM-EEG v2 (EEGConformer),2025,Framework,Pipeline+RL+LLM,EEGConformer+APA+DVA+Phi3,BCI IV-2a,9,22,250,4s (2.0-6.0s),52.94,0.37,N/A,N/A,Planned,5-fold CV,LLM (Phi-3),APA (Q-Learning),DVA (Accept/Reject/Review),Yes,Yes (Phi-3),No,Self-Attention,Transformer,CNN,https://github.com/erlika/llm-eeg
LLM-EEG v2 (EEGTCNet),2025,Framework,Pipeline+RL+LLM,EEGTCNet+APA+DVA+Phi3,BCI IV-2a,9,22,250,4s (2.0-6.0s),46.34,0.28,N/A,N/A,Planned,5-fold CV,LLM (Phi-3),APA (Q-Learning),DVA (Accept/Reject/Review),Yes,Yes (Phi-3),No,None,TCN,CNN depthwise,https://github.com/erlika/llm-eeg
LLM-EEG v2 (CTNet),2025,Framework,Pipeline+RL+LLM,CTNet+APA+DVA+Phi3,BCI IV-2a,9,22,250,4s (2.0-6.0s),55.49,0.41,N/A,N/A,Planned,5-fold CV,LLM (Phi-3),APA (Q-Learning),DVA (Accept/Reject/Review),Yes,Yes (Phi-3),No,Self-Attention,Transformer,CNN,https://github.com/erlika/llm-eeg
LLM-EEG v2 (MSCFormer),2025,Framework,Pipeline+RL+LLM,MSCFormer+APA+DVA+Phi3,BCI IV-2a,9,22,250,4s (2.0-6.0s),56.99,0.43,N/A,N/A,Planned,5-fold CV,LLM (Phi-3),APA (Q-Learning),DVA (Accept/Reject/Review),Yes,Yes (Phi-3),No,Self-Attention,Transformer,Multi-scale Conv,https://github.com/erlika/llm-eeg
AMEEGNet,2025,Attached PDF,Multi-scale CNN,Multi-scale EEGNet + ECA Attention,BCI IV-2a; IV-2b; HGD,9+9+14,22/3/44,250,Session-wise,81.17,0.75,89.83,95.49,N/R,Session-wise,None,No,No,No,No,Yes,ECA,CNN multi-scale,CNN depthwise,N/A (attached)
EEG-DCNet,2024,Attached XML,Dilated CNN,Dilated CNN + SE Attention + Image Tensor,BCI IV-2a; IV-2b; HGD,9+9+14,22/3/44,250,Sliding window,83.31,0.78,N/R,N/R,N/R,Sliding window,None,No,No,No,No,Yes,SE,Dilated Conv,Conv,https://arxiv.org/abs/2411.17705
Feature Reweighting,2025,Attached XML,CNN+Reweighting,Feature reweighting mechanism on CNN,BCI IV-2a,9,22,250,N/R,N/R,N/R,N/R,N/R,N/R,N/R,None,No,No,No,No,No,Reweighting,CNN,CNN,N/A (attached)
CIACNet,2025,Attached XML,Dual-branch CNN,Dual-branch CNN + CBAM + TCN,BCI IV-2a; IV-2b,9+9,22/3,250,Session-wise,85.15,0.80,90.05,N/A,N/R,Session-wise,None,No,No,No,No,No,CBAM,TCN,CNN dual-branch,https://pmc.ncbi.nlm.nih.gov/articles/PMC11841462/
CLTNet,2025,Attached XML,Hybrid CNN+LSTM+Transformer,CNN + LSTM + Transformer,BCI IV-2a; IV-2b,9+9,22/3,250,Session-wise,83.02,0.77,87.11,N/A,N/R,Session-wise,None,No,No,No,No,No,Self-Attention,LSTM+Transformer,CNN,N/A (attached)
Multi-day EEG Study,2025,Attached XML,Benchmark (EEGNet/DeepConvNet),EEGNet and DeepConvNet benchmarks,Custom multi-day,N/R,N/R,N/R,N/R,85.32 (2C),N/R,N/R,N/R,Partial,Multi-day,None,No,No,No,No,No,None,CNN,CNN,N/A (attached)
Transformer-based Model,2025,Attached XML,TCN+Transformer,TCN + Transformer (DSTS),BCI IV-2a,9,22,250,Session-wise,86.46,0.82,N/A,N/A,74.48,Session-wise,None,No,No,No,No,No,Self-Attention,Transformer,TCN,N/A (attached)
MSCFormer,2025,Attached XML,Multi-scale Conv+Transformer,Multi-scale Conv + Transformer,BCI IV-2a; IV-2b,9+9,22/3,250,5-fold CV,82.95,0.77,88.00,N/A,N/R,5-fold CV,None,No,No,No,No,Yes,Self-Attention,Transformer,Multi-scale Conv,N/A (attached)
BrainGridNet,2025,Attached XML,Two-branch Depthwise CNN,Two-branch depthwise CNN grid encoding,BCI IV-2a,9,22,250,10-fold CV,80.26,0.753,N/A,N/A,N/R,10-fold CV,None,No,No,No,No,Yes,None,Depthwise Conv,Grid spatial CNN,N/A (attached)
SATrans-Net,2025,Web Research,DSC+Sparse Att Transformer,2D Depthwise Sep Conv + Top-K Sparse Attention Transformer,BCI IV-2a; IV-2b; HGD,9+9+14,22/3/44,250,2-6s (22x1000),84.72,N/R,89.76,96.79,N/R,Cross-session,Grad-CAM,No,No,No,No,No,Top-K Sparse,Sparse Transformer,Depthwise Sep Conv,https://www.nature.com/articles/s41598-025-30806-8
Transformer-GCN,2025,Web Research,Transformer+GCN,Transformer (temporal) + GCN (PCC+COH+PLV adjacency),BCI IV-2a; Physionet,9+109,22/64,250/160,Subject-level,82.9,N/R,N/A,N/A,97.43 (Physionet),Subject-level,None,No,No,No,No,No,Self-Attention,Transformer,GCN,https://www.sciencedirect.com/science/article/abs/pii/S1568494624014601
